DYNAMIXEL Graph,2
MX-12W,360
ItemCount,4
Realtime Tick,#000000,0,1,0
Present Speed,#ffff00,0,1,0
Goal Position,#ff0000,0,1,0
Present Position,#0055ff,0,1,0
Time[ms],Realtime Tick,Present Speed,Goal Position,Present Position
3572,24308,0,4090,1167
3591,24327,0,4090,1167
3604,24340,0,4090,1167
3630,24366,0,4090,1167
3640,24376,0,4090,1167
3652,24388,0,4090,1167
3670,24406,0,4090,1167
3684,24420,0,4090,1167
3709,24445,0,4090,1167
3719,24455,0,4090,1167
3732,24468,0,4090,1167
3750,24486,0,4090,1167
3764,24500,0,4090,1167
3780,24516,0,4090,1167
3800,24536,0,4090,1167
3812,24548,0,4090,1167
3830,24566,0,4090,1167
3844,24580,0,4090,1167
3870,24606,0,4090,1167
3880,24616,0,4090,1167
3892,24628,0,4090,1167
3910,24646,0,4090,1167
3924,24660,0,4090,1167
3949,24685,0,4090,1167
3959,24695,0,4090,1167
3972,24708,0,4090,1167
3990,24726,0,4090,1167
4004,24740,0,4090,1167
4020,24756,0,4090,1167
4040,24776,0,4090,1167
4052,24788,0,4090,1167
4070,24806,0,4090,1167
4084,24820,0,4090,1167
4111,24847,0,4090,1167
4120,24856,0,4090,1167
4132,24868,0,4090,1167
4150,24886,0,4090,1167
4164,24900,0,4090,1167
4190,24926,0,4090,1167
4200,24936,0,4090,1167
4212,24948,0,4090,1167
4230,24966,0,4090,1167
4244,24980,0,4090,1167
4260,24996,0,4090,1167
4276,25012,0,4090,1167
4301,25037,0,4090,1167
4310,25046,0,4090,1167
4324,25060,0,4090,1167
4351,25087,0,4090,1167
4360,25096,0,4090,1167
4372,25108,0,4090,1167
4390,25126,0,4090,1167
4404,25140,0,4090,1167
4430,25166,0,4090,1167
4440,25176,0,4090,1166
4452,25188,0,4090,1167
4470,25206,0,4090,1167
4484,25220,0,4090,1167
4510,25246,0,4090,1167
4520,25256,0,4090,1167
4532,25268,0,4090,1167
4548,25284,0,4090,1167
4569,25305,0,4090,1167
4580,25316,0,4090,1167
4600,25336,0,4090,1167
4612,25348,0,4090,1167
4630,25366,0,4090,1167
4644,25380,0,4090,1167
4670,25406,0,4090,1167
4680,25416,0,4090,1167
4692,25428,0,4090,1167
4709,25445,0,4090,1167
4724,25460,0,4090,1167
4749,25485,0,4090,1167
4760,25496,0,4090,1167
4772,25508,0,4090,1167
4790,25526,0,4090,1167
4804,25540,0,4090,1167
4820,25556,0,4090,1167
4839,25575,0,4090,1167
4852,25588,0,4090,1167
4870,25606,0,4090,1167
4884,25620,0,4090,1167
4910,25646,0,4090,1167
4920,25656,0,4090,1167
4933,25669,0,4090,1167
4948,25684,0,4090,1167
4970,25706,0,4090,1167
4980,25716,0,4090,1167
5000,25736,0,4090,1167
5012,25748,0,4090,1167
5030,25766,0,4090,1167
5045,25781,0,4090,1167
5070,25806,0,4090,1167
5080,25816,0,4090,1167
5092,25828,0,4090,1167
5110,25846,0,4090,1167
5124,25860,0,4090,1167
5150,25886,0,4090,1167
5160,25896,0,4090,1167
5172,25908,0,4090,1167
5188,25924,0,4090,1167
5210,25946,0,4090,1167
5220,25956,0,4090,1167
5240,25976,0,4090,1167
5252,25988,0,4090,1167
5269,26005,0,4090,1167
5285,26021,0,4090,1167
5310,26046,0,4090,1167
5320,26056,0,4090,1167
5332,26068,0,4090,1167
5348,26084,0,4090,1167
5370,26106,0,4090,1167
5381,26117,0,4090,1167
5396,26132,0,4090,1167
5420,26156,0,4090,1167
5430,26166,0,4090,1167
5444,26180,0,4090,1167
5470,26206,0,4090,1167
5480,26216,0,4090,1167
5492,26228,0,4090,1167
5510,26246,0,4090,1167
5524,26260,0,4090,1167
5550,26286,0,4090,1167
5560,26296,0,4090,1167
5573,26309,0,4090,1167
